views/60d  langs   ngram  letters  status   title
---------  -----  ------  -------  -------  ----------------------------------------
  188,121     54                6  kept     Top Gun
  187,759     74                3  kept     Sia
  187,680     52                9  kept     Downton Abbey
  187,606    140                7  kept     Colosseum
  187,597     55               10  kept     Lord of the Flies
  187,513     87               11  kept     Back to the Future
  187,454    101                5  kept     Hermes
  187,345     68               13  kept     Desperate Housewives
  186,971     71               15  kept     Grand Theft Auto: Vice City
  186,904    117               10  kept     Alexandre Dumas
  186,738     80               12  kept     Gone with the Wind (film)
  186,716     73               11  kept     Spider-Man (2002 film)
  186,658     55               14  kept     Saturday Night Live
  186,441    125               10  kept     Greek mythology
  186,137     36               13  kept     Saturn Devouring His Son
  185,569     53               11  kept     The Big Lebowski
  185,486     75               10  kept     Pride and Prejudice
  185,162    161                7  kept     Socialism
  184,913     77               10  kept     How I Met Your Mother
  184,861     62                9  kept     E.T. the Extra-Terrestrial
  184,757    201               10  kept     Dante Alighieri
  184,574     55               11  kept     Wednesday (TV series)
  184,537    183               11  kept     Olympic Games
  184,535     80                6  REMOVED  Bon Jovi
  184,442     86                7  kept     Green Day
  184,271     92                8  kept     Fred Astaire
  183,805     99                5  kept     Shrek
  183,692     61                9  kept     Scarface (1983 film)
  183,121     32               13  kept     Pokémon (video game series)
  182,660     60                7  kept     The Sixth Sense
  182,539     70               12  kept     Star Wars: The Force Awakens
  182,450     53                9  kept     Cyberpunk 2077
  182,334    121               10  kept     Virginia Woolf
  182,254    114                9  kept     The Lion King
  181,160     57               11  kept     Sex and the City
  180,786    207                7  kept     Salvador Dalí
  180,658     81                8  kept     Lost (TV series)
  180,167    100                9  REMOVED  Ingrid Bergman
  179,976     80               10  kept     Ratatouille (film)
  179,035    102                7  kept     Artemis
  178,472    124                6  kept     Nintendo
  178,325     66                4  kept     300 (film)
  178,209     89                5  kept     Duran Duran
  178,005     51               12  kept     Chernobyl (miniseries)
  177,996     67               14  kept     Voynich manuscript
  177,550     23               16  kept     The Book of Mormon (musical)
  176,956     57                7  kept     Gabe Newell
  176,884    105                5  kept     Batman
  176,556    222                5  kept     Plato
  176,101    115                9  kept     Aphrodite
  176,066     38               15  kept     The Legend of Zelda: Ocarina of Time
  175,927     75                7  kept     Alien (film)
  175,811     99                7  kept     Vivien Leigh
  175,655     85                3  kept     Dr. Dre
  175,580     33                8  kept     Neuromancer
  175,541     57                8  REMOVED  Danny Elfman
  175,422     79               16  kept     Sgt. Pepper's Lonely Hearts Club Band
  175,397    109                4  REMOVED  Enya
  175,365     38               12  kept     Parks and Recreation
  175,344     71                7  kept     Pearl Jam
  175,259     57               10  kept     Pharrell Williams
  174,841     70                9  kept     Billboard Hot 100
  174,585     61               13  kept     A Clockwork Orange (film)
  174,499     38               12  REMOVED  Community (TV series)
  173,999     26                4  kept     EGOT
  173,963     50               10  kept     Hatsune Miku
  173,551     66                7  kept     Neil Gaiman
  173,542     56               11  kept     The Wizard of Oz
  173,090    178               11  kept     Charles Dickens
  172,932     93                6  kept     Star Trek
  172,768     68                5  kept     Lolita
  172,683     79               12  kept     Avengers: Infinity War
  172,009     71               10  kept     Nintendo Switch
  171,970     67               11  kept     Django Unchained
  171,886     55               11  kept     The Crown (TV series)
  171,181     73               11  kept     The Godfather Part II
  171,100    100                8  kept     Hayao Miyazaki
  170,264     79                7  kept     Pikachu
  169,982     49               11  kept     Minority Report (film)
  169,929     64               13  kept     American Beauty (1999 film)
  169,585     57               15  REMOVED  Bohemian Rhapsody (film)
  169,507     98                7  kept     Animal Farm
  169,472     42                8  kept     Come and See
